Date,Open,High,Low,Close,Adjusted_close,Volume
2025-11-24 00:00:00+01:00,351.3,353.6,347.6,352.3,352.3,3240011
2025-11-25 00:00:00+01:00,352.5,356.8,350.7,354.7,354.7,1241722
2025-11-26 00:00:00+01:00,356.9,357.8,354.7,356.7,356.7,1125290
2025-11-27 00:00:00+01:00,358.3,359.2,357,358.6,358.6,1147349
2025-11-28 00:00:00+01:00,358,359.6,357.5,358.6,358.6,1894654
2025-12-01 00:00:00+01:00,355.7,357.1,353,356.5,356.5,1248048
2025-12-02 00:00:00+01:00,356.7,357.4,353,353.5,353.5,1101073
2025-12-03 00:00:00+01:00,353.1,356.1,352.2,355,355,1263974
2025-12-04 00:00:00+01:00,356.4,360.7,354.9,359.3,359.3,1368871
2025-12-05 00:00:00+01:00,360.7,362.8,359,360.9,360.9,1352978
2025-12-08 00:00:00+01:00,361,361.3,356.1,358.1,358.1,1108298
2025-12-09 00:00:00+01:00,358.3,358.3,353.1,353.1,353.1,1532677
2025-12-10 00:00:00+01:00,350.9,353.8,349.7,351.6,351.6,1194993
2025-12-11 00:00:00+01:00,351.4,358.5,350.3,358,358,1041127
2025-12-12 00:00:00+01:00,359.7,361.7,357.5,357.6,357.6,947520
2025-12-15 00:00:00+01:00,358,360.4,357.9,359,359,1195873
2025-12-16 00:00:00+01:00,357.4,359.1,355.6,358.3,358.3,1909517
2025-12-17 00:00:00+01:00,357.8,358.4,349.8,350.9,350.9,1216740
2025-12-18 00:00:00+01:00,350.8,355,349,355,355,1478734
2025-12-19 00:00:00+01:00,355.8,357.9,354.8,355.8,355.8,1924559
2025-12-22 00:00:00+01:00,356.9,357,353.6,356,356,759402
2025-12-23 00:00:00+01:00,355.9,357.4,355.1,355.4,355.4,736941
2025-12-29 00:00:00+01:00,356.3,358.3,355.3,357.7,357.7,989259
2025-12-30 00:00:00+01:00,356.8,360.3,355.6,358.9,358.9,1117775
2026-01-02 00:00:00+01:00,358.2,358.5,353.1,354.8,354.8,1305091
2026-01-05 00:00:00+01:00,355,356.1,350,353.7,353.7,896169
2026-01-07 00:00:00+01:00,357.5,361,349.8,361,361,3156148
2026-01-08 00:00:00+01:00,360,362.8,356,358.3,358.3,2073070
2026-01-09 00:00:00+01:00,358.8,366.3,358.3,364.7,364.7,1724486
2026-01-12 00:00:00+01:00,364.7,367,362,365.2,365.2,1508984
2026-01-13 00:00:00+01:00,365.2,365.2,359.8,361,361,1612409
2026-01-14 00:00:00+01:00,361.1,362.6,358.4,358.9,358.9,2938754
2026-01-15 00:00:00+01:00,359.7,369.4,358.8,369.4,369.4,3430318
2026-01-16 00:00:00+01:00,376,376,369.4,374.8,374.8,1770875
2026-01-19 00:00:00+01:00,367.2,369.2,364.2,369,369,2106981
2026-01-20 00:00:00+01:00,362.8,364.6,359.6,362.7,362.7,1961470
2026-01-21 00:00:00+01:00,361.5,365,359.4,363.4,363.4,1090873
2026-01-22 00:00:00+01:00,367.5,369.9,365.5,366,366,1590178
2026-01-23 00:00:00+01:00,366.6,366.6,363.2,366.1,366.1,1260111
2026-01-26 00:00:00+01:00,365.2,365.2,358.8,360.9,360.9,1433063
2026-01-27 00:00:00+01:00,361.7,364.4,361.3,362.6,362.6,1244872
2026-01-28 00:00:00+01:00,361.9,363.3,356.7,358.1,358.1,1566967
2026-01-29 00:00:00+01:00,358.8,363.1,358.4,360.2,360.2,1325545
2026-01-30 00:00:00+01:00,359.3,363.6,358.4,359.9,359.9,1636207
2026-02-02 00:00:00+01:00,358,365.6,356.4,364.3,364.3,1816295
2026-02-03 00:00:00+01:00,366.3,370,361.3,370,370,2084457
2026-02-04 00:00:00+01:00,372.9,384.7,370.7,380.6,380.6,3767870
