Date,Open,High,Low,Close,Adjusted_close,Volume
2025-11-24 00:00:00+01:00,1742.5,1748,1726.5,1745.5,1727.5903,529167
2025-11-25 00:00:00+01:00,1743.5,1780.5,1738.5,1773,1754.8082,399400
2025-11-26 00:00:00+01:00,1780,1786.5,1758.5,1776,1757.7774,328667
2025-11-27 00:00:00+01:00,1768.5,1779,1748.5,1750.5,1732.539,313329
2025-11-28 00:00:00+01:00,1753.5,1763,1742,1749.5,1731.5493,519413
2025-12-01 00:00:00+01:00,1743.5,1758.5,1724,1727,1709.2801,198156
2025-12-02 00:00:00+01:00,1713.5,1725,1704.5,1715.5,1697.8981,206459
2025-12-03 00:00:00+01:00,1706.5,1721,1699.5,1708.5,1690.97,209759
2025-12-04 00:00:00+01:00,1708.5,1710.5,1694.5,1694.5,1677.1136,194293
2025-12-05 00:00:00+01:00,1698,1717.5,1698,1704,1686.5161,173729
2025-12-08 00:00:00+01:00,1704,1715,1690,1698.5,1681.0726,212708
2025-12-09 00:00:00+01:00,1720,1724,1688.5,1692.5,1675.1341,290000
2025-12-10 00:00:00+01:00,1682,1719.5,1674,1675.5,1658.3085,253593
2025-12-11 00:00:00+01:00,1688,1694,1673.5,1684.5,1667.2162,230007
2025-12-12 00:00:00+01:00,1671.5,1677,1658.5,1669.5,1652.3701,314250
2025-12-15 00:00:00+01:00,1668,1693.5,1660.5,1691.5,1674.1444,281391
2025-12-16 00:00:00+01:00,1704,1711.5,1676.5,1682,1664.7419,172989
2025-12-17 00:00:00+01:00,1690,1703.5,1684.5,1689,1671.67,214674
2025-12-18 00:00:00+01:00,1679.5,1688,1666.5,1684.5,1667.2162,309169
2025-12-19 00:00:00+01:00,1686,1701,1678,1701,1683.5469,283942
2025-12-22 00:00:00+01:00,1698,1698,1672.5,1691,1673.6495,243801
2025-12-23 00:00:00+01:00,1699,1713,1695,1699,1681.5674,166276
2025-12-29 00:00:00+01:00,1699,1709,1696,1702.5,1685.0315,190652
2025-12-30 00:00:00+01:00,1702.5,1713,1699,1703.5,1686.0213,176609
2026-01-02 00:00:00+01:00,1703.5,1725.5,1693.5,1694,1676.6187,227934
2026-01-05 00:00:00+01:00,1694,1694,1661.5,1676,1658.8034,157711
2026-01-07 00:00:00+01:00,1734,1773,1734,1761,1742.9313,524804
2026-01-08 00:00:00+01:00,1749,1771,1737,1755,1736.9928,216104
2026-01-09 00:00:00+01:00,1743.5,1772.5,1733,1754,1736.0031,270362
2026-01-12 00:00:00+01:00,1737,1761.5,1715.5,1739,1721.157,403198
2026-01-13 00:00:00+01:00,1729,1738.5,1706,1723,1705.3212,431024
2026-01-14 00:00:00+01:00,1738.5,1782,1738.5,1765,1746.8902,480823
2026-01-15 00:00:00+01:00,1769,1783,1728.5,1733,1715.2186,340817
2026-01-16 00:00:00+01:00,1731,1751,1727,1738,1720.1673,344663
2026-01-19 00:00:00+01:00,1727,1754.5,1719,1723,1705.3212,224036
2026-01-20 00:00:00+01:00,1700,1702,1631,1659,1641.9778,487445
2026-01-21 00:00:00+01:00,1637,1655,1624,1631.5,1614.76,361312
2026-01-22 00:00:00+01:00,1656.5,1657.5,1630.5,1656.5,1639.5035,328330
2026-01-23 00:00:00+01:00,1663,1669.5,1649.5,1662,1644.9471,371165
2026-01-26 00:00:00+01:00,1663,1683.5,1653,1683.5,1666.2265,231434
2026-01-27 00:00:00+01:00,1693.5,1699.5,1679,1693,1675.629,286025
2026-01-28 00:00:00+01:00,1682,1682,1643.5,1656.5,1639.5035,298721
2026-01-29 00:00:00+01:00,1648.5,1656,1638,1647,1630.101,421498
2026-01-30 00:00:00+01:00,1633.5,1654,1622.5,1649.5,1632.5753,183269
2026-02-02 00:00:00+01:00,1657.5,1719,1636.5,1716,1698.393,396742
2026-02-03 00:00:00+01:00,1690,1700.5,1665,1688.5,1671.1752,320136
2026-02-04 00:00:00+01:00,1651,1712,1641.5,1701.5,1684.0418,516689
2026-02-05 00:00:00+01:00,1684,1722,1676.5,1711,1693.4443,356872
2026-02-06 00:00:00+01:00,1710,1731,1702,1728.5,1710.7647,290038
2026-02-09 00:00:00+01:00,1735,1741,1693.5,1702,1684.5366,316804
2026-02-10 00:00:00+01:00,1710.5,1739.5,1679.5,1728,1710.2699,1096109
2026-02-11 00:00:00+01:00,1720,1798.5,1707,1786,1767.6748,869949
2026-02-12 00:00:00+01:00,1805,1824.5,1790,1815,1796.3772,495588
