Date,Open,High,Low,Close,Adjusted_close,Volume
2025-11-24 00:00:00+01:00,413.3,422.2,412.6,422.2,422.2,2396211
2025-11-25 00:00:00+01:00,425.4,432.1,424.9,427.9,427.9,929422
2025-11-26 00:00:00+01:00,442,445.9,434.5,444.9,444.9,1197203
2025-11-27 00:00:00+01:00,443.6,444.2,437.4,440.7,440.7,572729
2025-11-28 00:00:00+01:00,446,451.8,443.3,451.8,451.8,1820093
2025-12-01 00:00:00+01:00,449.8,459.3,446.5,456.4,456.4,1209600
2025-12-02 00:00:00+01:00,457.2,458.1,454,454,454,881115
2025-12-03 00:00:00+01:00,460,465.8,458.1,462.8,462.8,1194530
2025-12-04 00:00:00+01:00,462.8,468.4,457.2,468,468,847964
2025-12-05 00:00:00+01:00,465,477,462,463.6,463.6,1574902
2025-12-08 00:00:00+01:00,463,467.2,462.4,465.1,465.1,812094
2025-12-09 00:00:00+01:00,461.1,466.1,454.1,465.6,465.6,1144558
2025-12-10 00:00:00+01:00,468,476.7,467,475.3,475.3,1221386
2025-12-11 00:00:00+01:00,477.5,483.5,470.9,482.4,482.4,1018725
2025-12-12 00:00:00+01:00,485,492,478.1,478.1,478.1,1238623
2025-12-15 00:00:00+01:00,481.2,488.1,480.5,487.1,487.1,1116544
2025-12-16 00:00:00+01:00,483.6,486.8,479.9,482.1,482.1,895253
2025-12-17 00:00:00+01:00,485,496.7,484.1,491.9,491.9,1328765
2025-12-18 00:00:00+01:00,492.5,494,487.7,492.3,492.3,1200353
2025-12-19 00:00:00+01:00,492.9,499.8,491,498.2,498.2,1621368
2025-12-22 00:00:00+01:00,504,505,494,499.4,499.4,922504
2025-12-23 00:00:00+01:00,500,503,495.4,502,502,680168
2025-12-29 00:00:00+01:00,505.2,513.6,503,507.4,507.4,1168043
2025-12-30 00:00:00+01:00,510.4,517.4,510.2,515.2,515.2,968429
2026-01-02 00:00:00+01:00,516.4,527.4,515.4,521,521,952815
2026-01-05 00:00:00+01:00,532.2,539.6,532.2,537.8,537.8,814026
2026-01-07 00:00:00+01:00,557,559.2,540.2,547.2,547.2,1646244
2026-01-08 00:00:00+01:00,550,555,541.6,547.2,547.2,1331222
2026-01-09 00:00:00+01:00,555,568.4,551,568,568,1689310
2026-01-12 00:00:00+01:00,575.6,580,566.8,578.2,578.2,1408761
2026-01-13 00:00:00+01:00,579.8,582.6,573,581.8,581.8,1382064
2026-01-14 00:00:00+01:00,586,590.8,580.8,590.4,590.4,1541940
2026-01-15 00:00:00+01:00,581.4,597,572.8,595.4,595.4,1807757
2026-01-16 00:00:00+01:00,584.4,584.4,565.2,572.2,572.2,2159191
2026-01-19 00:00:00+01:00,569.4,584.2,567.2,583.8,583.8,1329356
2026-01-20 00:00:00+01:00,581,589.6,575.8,589.6,589.6,1301536
