Date,Open,High,Low,Close,Adjusted_close,Volume
2025-11-24 00:00:00+01:00,90.52,90.68,89.3,90.24,88.9666,12581290
2025-11-25 00:00:00+01:00,90.24,91.36,90.04,90.92,89.637,3985548
2025-11-26 00:00:00+01:00,91.4,91.56,90.32,91.28,89.9919,4212552
2025-11-27 00:00:00+01:00,91.02,91.64,90.6,91.44,90.1497,2442298
2025-11-28 00:00:00+01:00,91,91.24,90.68,91.08,89.7948,5203596
2025-12-01 00:00:00+01:00,90.84,91.56,90.68,91.26,89.9722,4082694
2025-12-02 00:00:00+01:00,91.06,91.68,90.6,91.26,89.9722,4088595
2025-12-03 00:00:00+01:00,91.22,91.22,90.46,90.46,89.1835,4791678
2025-12-04 00:00:00+01:00,90.8,91.14,90.2,90.5,89.223,4452567
2025-12-05 00:00:00+01:00,90.6,90.8,89.88,90.22,88.9469,3537886
2025-12-08 00:00:00+01:00,90.1,90.64,89.62,90.34,89.0652,3304655
2025-12-09 00:00:00+01:00,90.6,90.88,90.06,90.88,89.5976,4034827
2025-12-10 00:00:00+01:00,90.9,91.06,89.3,89.68,88.4145,4372622
2025-12-11 00:00:00+01:00,89.24,91,88.9,90.34,89.0652,4850863
2025-12-12 00:00:00+01:00,90.34,90.42,89.12,89.12,87.8624,4295443
2025-12-15 00:00:00+01:00,89.28,89.86,89.02,89.32,88.0596,4566075
2025-12-16 00:00:00+01:00,89.6,90.5,89.44,89.6,88.3357,4273409
2025-12-17 00:00:00+01:00,90.16,90.6,89.4,89.6,88.3357,4435781
2025-12-18 00:00:00+01:00,89.6,90.68,89.2,90.12,88.8483,4295161
2025-12-19 00:00:00+01:00,90.12,90.54,89.9,90.42,89.1441,8433509
2025-12-22 00:00:00+01:00,90.4,90.76,90.08,90.48,89.2032,2900764
2025-12-23 00:00:00+01:00,90.44,90.44,89.74,89.74,88.4737,2782581
2025-12-29 00:00:00+01:00,89.12,90.02,88.58,90.02,88.7497,5569830
2025-12-30 00:00:00+01:00,90,90.84,89.66,90.6,89.3215,4545423
2026-01-02 00:00:00+01:00,90.6,90.62,87.7,88.3,87.054,6042132
2026-01-05 00:00:00+01:00,88.3,89.68,88.1,89.62,88.3554,3424692
2026-01-07 00:00:00+01:00,90.5,91.98,88.6,91.24,89.9525,11837940
2026-01-08 00:00:00+01:00,90.8,90.82,87.02,87.24,86.009,11251210
2026-01-09 00:00:00+01:00,86.8,87.6,86.3,86.92,85.6935,8466762
2026-01-12 00:00:00+01:00,86.7,87.12,86,86.66,85.4371,5078213
2026-01-13 00:00:00+01:00,86.8,87.24,86.66,87,85.7723,5188047
2026-01-14 00:00:00+01:00,87.22,87.94,86.5,86.9,85.6738,6276520
2026-01-15 00:00:00+01:00,87.3,88.54,87.1,88.32,87.0737,9557228
2026-01-16 00:00:00+01:00,88.24,88.24,86.66,87.52,86.285,12169600
2026-01-19 00:00:00+01:00,86.4,87,85.54,86.54,85.3188,5536800
2026-01-20 00:00:00+01:00,86.04,86.62,84.56,86.42,85.2005,7237533
2026-01-21 00:00:00+01:00,86.42,86.62,84.66,86.5,85.2794,7299115
2026-01-22 00:00:00+01:00,87,87.46,85.46,85.78,84.5696,8659892
2026-01-23 00:00:00+01:00,93.46,96.28,92.36,94.8,93.4623,27663391
2026-01-26 00:00:00+01:00,94.36,96.42,92.6,95.12,93.7778,12358020
2026-01-27 00:00:00+01:00,95.8,99,95.44,99,97.603,12859400
2026-01-28 00:00:00+01:00,98.7,98.8,95.92,97.16,95.789,8512890
2026-01-29 00:00:00+01:00,97.04,97.72,95.88,96.2,94.8425,9182947
2026-01-30 00:00:00+01:00,96.66,97.28,95.72,96.66,95.296,6371898
2026-02-02 00:00:00+01:00,96.4,98.88,95.86,98.5,97.1101,6866581
2026-02-03 00:00:00+01:00,98.5,99.46,98.36,99.02,97.6227,7425709
2026-02-04 00:00:00+01:00,99.24,101.3,98.9,99.76,98.3523,9555678
2026-02-05 00:00:00+01:00,98.88,99.58,97.52,99.44,98.0368,7674954
2026-02-06 00:00:00+01:00,99.36,100.7,99.12,99.8,98.3917,5147014
2026-02-09 00:00:00+01:00,100.5,100.85,100.05,100.65,99.2297,4221837
2026-02-10 00:00:00+01:00,101,101.35,100.55,100.6,99.1804,6825227
2026-02-11 00:00:00+01:00,100.15,100.15,98.24,98.68,97.2875,10925020
2026-02-12 00:00:00+01:00,99,99,96.78,97.2,95.8284,8863604
2026-02-13 00:00:00+01:00,97.5,98.54,97.16,98.42,97.0312,5679125
2026-02-16 00:00:00+01:00,98.8,99.54,98.4,98.4,97.0115,4228686
2026-02-17 00:00:00+01:00,98.6,100.15,98.4,99.88,98.4706,8047641
2026-02-18 00:00:00+01:00,100.45,101.45,100.3,100.95,99.5255,6336053
2026-02-19 00:00:00+01:00,101.4,102.35,101,101.65,100.2156,5850130
2026-02-20 00:00:00+01:00,101.6,102.8,101.2,102.05,100.61,4901104
2026-02-23 00:00:00+01:00,101.5,102,100.6,100.85,99.4269,5445427
2026-02-24 00:00:00+01:00,100.5,100.7,98.54,99.86,98.4509,7810251
