Date,Open,High,Low,Close,Adjusted_close,Volume
2025-11-24 00:00:00+01:00,208.2,211.7,207.5,210.6,205.5528,460609
2025-11-25 00:00:00+01:00,211.4,212.2,209.5,211.1,206.0408,499091
2025-11-26 00:00:00+01:00,211.5,214.2,210.7,213.7,208.5785,408479
2025-11-27 00:00:00+01:00,214,215.5,213.4,215.5,210.3354,229452
2025-11-28 00:00:00+01:00,215.5,215.9,214.2,214.9,209.7498,628292
2025-12-01 00:00:00+01:00,215.3,217.3,214.2,216,210.8234,353856
2025-12-02 00:00:00+01:00,215.6,215.6,210.8,211.8,206.7241,574596
2025-12-03 00:00:00+01:00,211.8,212.8,209.2,210.1,205.0648,342876
2025-12-04 00:00:00+01:00,210,211.2,208.6,210.7,205.6504,300023
2025-12-05 00:00:00+01:00,211,211.8,210,211.2,206.1384,337451
2025-12-08 00:00:00+01:00,210.3,211.1,207.7,207.9,202.9175,448122
2025-12-09 00:00:00+01:00,207.9,208,204.1,205,200.087,618770
2025-12-10 00:00:00+01:00,205,206.5,203.7,206.5,201.5511,425110
2025-12-11 00:00:00+01:00,205.7,209.5,205.1,209.2,204.1864,491869
2025-12-12 00:00:00+01:00,209.3,211,208.9,210.3,205.26,608712
2025-12-15 00:00:00+01:00,210.2,214.2,210,212.6,207.5049,548553
2025-12-16 00:00:00+01:00,212.6,215,211.9,213.9,208.7737,633771
2025-12-17 00:00:00+01:00,214,214,212,213.4,208.2857,515687
2025-12-18 00:00:00+01:00,213.2,214,209.6,211.8,206.7241,455477
2025-12-19 00:00:00+01:00,211,213.3,210,213.3,208.1881,1969001
2025-12-22 00:00:00+01:00,213.3,213.6,210.8,213.1,207.9929,348611
2025-12-23 00:00:00+01:00,213.3,214.7,212,213.3,208.1881,236896
2025-12-29 00:00:00+01:00,213.5,217.7,213.2,217.6,212.3851,261196
2025-12-30 00:00:00+01:00,217,219.2,216.1,218.8,213.5563,322625
2026-01-02 00:00:00+01:00,218.6,220.6,217.2,217.6,212.3851,237483
2026-01-05 00:00:00+01:00,218.3,219.3,216.9,218.5,213.2635,202088
2026-01-07 00:00:00+01:00,222,227.8,221.9,227.8,222.3406,864831
2026-01-08 00:00:00+01:00,226.3,226.4,218.7,225,219.6077,869175
2026-01-09 00:00:00+01:00,224.3,227.3,222.2,224.4,219.0221,404368
2026-01-12 00:00:00+01:00,224.4,224.5,217.9,219.6,214.3371,608187
2026-01-13 00:00:00+01:00,221,221.6,218.2,221.6,216.2892,323741
2026-01-14 00:00:00+01:00,221.6,222.4,215.1,220.6,215.3132,1017718
2026-01-15 00:00:00+01:00,221,224.8,219.5,223,217.6557,613144
2026-01-16 00:00:00+01:00,224.5,225.4,222.4,222.4,217.07,327349
2026-01-19 00:00:00+01:00,217,217,212.3,212.4,207.3097,773578
2026-01-20 00:00:00+01:00,210.4,211.5,208.2,210.1,205.0648,529823
2026-01-21 00:00:00+01:00,210.1,210.8,206,209.1,204.0888,460888
2026-01-22 00:00:00+01:00,213,213.7,209.8,211.1,206.0408,844753
2026-01-23 00:00:00+01:00,210.8,212.2,209.8,211.1,206.0408,431618
2026-01-26 00:00:00+01:00,209.8,211.9,206.4,211.9,206.8217,777840
2026-01-27 00:00:00+01:00,205,207,196.5,199.65,194.8652,3525951
2026-01-28 00:00:00+01:00,199,200.4,196.5,197.15,192.4252,1985195
2026-01-29 00:00:00+01:00,197.1,199.85,194.3,196.35,191.6443,2443169
2026-01-30 00:00:00+01:00,196.35,197.7,194.6,195.4,190.7171,770369
2026-02-02 00:00:00+01:00,195.3,198.85,194,196.9,192.1812,639711
2026-02-03 00:00:00+01:00,198.85,201,197.75,200.9,196.0853,787865
2026-02-04 00:00:00+01:00,200.9,204.7,200.2,203.7,198.8182,693168
2026-02-05 00:00:00+01:00,203,206,201.8,206,201.0631,495849
2026-02-06 00:00:00+01:00,205.4,205.5,202.4,203.8,198.9158,482922
2026-02-09 00:00:00+01:00,204.2,204.4,201.6,203.2,198.3302,342451
2026-02-10 00:00:00+01:00,203.2,206.9,202.8,206.4,201.4535,487075
2026-02-11 00:00:00+01:00,206,206,199.85,199.85,195.0605,888251
2026-02-12 00:00:00+01:00,199.95,201.4,196.75,197.35,192.6204,1574696
2026-02-13 00:00:00+01:00,196.75,201.3,195,201.2,196.3781,1082855
2026-02-16 00:00:00+01:00,199.8,199.95,196.6,197.65,192.9132,468557
2026-02-17 00:00:00+01:00,197.15,199.2,197.15,199.2,194.426,481809
2026-02-18 00:00:00+01:00,199.2,201.2,197.5,201.1,196.2805,427841
2026-02-19 00:00:00+01:00,200.3,202.6,200,200.4,195.5973,559082
2026-02-20 00:00:00+01:00,201,204,200,203.6,198.7206,816078
2026-02-23 00:00:00+01:00,202.8,202.8,199.05,199.05,194.2796,651334
2026-02-24 00:00:00+01:00,198.75,200.9,198.25,198.75,193.9868,495010
2026-02-25 00:00:00+01:00,198.75,201.1,197.55,200.1,195.3045,402453
2026-02-26 00:00:00+01:00,199.5,202.7,198.7,202.7,197.8422,401759
2026-02-27 00:00:00+01:00,202.6,203.4,201.2,202.9,198.0374,459052
2026-03-02 00:00:00+01:00,197.1,201.3,197,198.5,193.7428,505104
2026-03-03 00:00:00+01:00,197.1,197.45,193.2,195.15,190.4731,857153
2026-03-04 00:00:00+01:00,195.15,199.95,194.9,199.4,194.6212,653916
2026-03-05 00:00:00+01:00,199.05,200.7,196.2,196.55,191.8395,374319
2026-03-06 00:00:00+01:00,198.45,199.5,195.15,195.8,191.1075,342525
2026-03-09 00:00:00+01:00,191.9,195.05,190.7,193.4,188.765,422660
2026-03-10 00:00:00+01:00,196.1,198.2,194.8,194.95,190.2779,887886
2026-03-11 00:00:00+01:00,193.1,194.65,191.75,192.7,188.0818,536173
2026-03-12 00:00:00+01:00,192,193.95,190.15,190.25,185.6905,297520
2026-03-13 00:00:00+01:00,190.2,191.15,187.8,188.95,184.4217,414909
2026-03-16 00:00:00+01:00,188.95,189.2,186.2,188.25,183.7385,410614
2026-03-17 00:00:00+01:00,188.25,190.4,187.15,189.6,185.0561,1524877
2026-03-18 00:00:00+01:00,190,190.2,185.95,186.75,182.2744,370571
2026-03-19 00:00:00+01:00,184.5,185,181.5,182.5,178.1263,668576
2026-03-20 00:00:00+01:00,183.75,184.25,180.3,180.6,176.2718,922491
2026-03-23 00:00:00+01:00,177.7,185.2,175.9,182.05,177.687,752586
2026-03-24 00:00:00+01:00,183,184.8,181.9,183.75,179.3463,490831
2026-03-25 00:00:00+01:00,185,185.75,183.2,184.8,180.3711,590013
2026-03-26 00:00:00+01:00,184.35,187.8,183.95,187,182.5184,327508
2026-03-27 00:00:00+01:00,187,187.3,183.9,184.5,180.0783,520613
2026-03-30 00:00:00+01:00,184.45,187.95,182.6,187.35,182.86,380423
2026-03-31 00:00:00+01:00,187.9,190.35,187.7,188.55,184.0313,669370
2026-04-01 00:00:00+01:00,194,194,190.8,193.25,188.6186,777903
2026-04-02 00:00:00+01:00,192,192,190.3,191.2,186.6178,206343
2026-04-07 00:00:00+01:00,192.85,194.5,189.1,190,185.4465,494845
2026-04-08 00:00:00+01:00,197.3,197.5,193.55,193.75,189.1066,526663
2026-04-09 00:00:00+01:00,193.3,193.3,190.3,191.45,186.8618,440056
2026-04-10 00:00:00+01:00,186.65,193.55,185.9,191.95,187.3498,621547
2026-04-13 00:00:00+01:00,191.15,192.55,188.7,191.95,187.3498,350124
2026-04-14 00:00:00+01:00,193.2,196.95,193,196.35,191.6443,1295671
2026-04-15 00:00:00+01:00,196.7,199.8,195.9,199.65,194.8652,555017
2026-04-16 00:00:00+01:00,199.9,202.7,199.15,200.9,196.0853,788408
2026-04-17 00:00:00+01:00,202,204.2,200.5,203.9,199.0134,710449
2026-04-20 00:00:00+01:00,201.3,202,199.35,200.9,196.0853,906708
2026-04-21 00:00:00+01:00,201.6,208.5,193.55,198.2,193.45,1478780
