Date,Open,High,Low,Close,Adjusted_close,Volume
2025-11-24 00:00:00+01:00,83.66,86.28,83.66,85.8,85.8,1818706
2025-11-25 00:00:00+01:00,85.8,86.44,84.78,85.64,85.64,610038
2025-11-26 00:00:00+01:00,86.04,86.5,84.32,84.84,84.84,555541
2025-11-27 00:00:00+01:00,85.1,87.5,85.1,87.36,87.36,633697
2025-11-28 00:00:00+01:00,87.38,88.24,86.7,87.7,87.7,894876
2025-12-01 00:00:00+01:00,87.2,87.64,85.76,85.78,85.78,498768
2025-12-02 00:00:00+01:00,86,86.04,84.16,84.84,84.84,788462
2025-12-03 00:00:00+01:00,84.96,85.98,84.52,84.74,84.74,707891
2025-12-04 00:00:00+01:00,85.42,86.52,84.9,86.5,86.5,733599
2025-12-05 00:00:00+01:00,86.58,87.64,86.02,86.02,86.02,648032
2025-12-08 00:00:00+01:00,86.14,86.5,84.04,84.42,84.42,546218
2025-12-09 00:00:00+01:00,84.32,84.72,82.68,83,83,636773
2025-12-10 00:00:00+01:00,82.78,82.96,81.22,82.52,82.52,773201
2025-12-11 00:00:00+01:00,82.7,83.82,81.9,83.5,83.5,633910
2025-12-12 00:00:00+01:00,83.6,84.6,83.24,83.24,83.24,416496
2025-12-15 00:00:00+01:00,83.34,84.14,82.24,82.56,82.56,548230
2025-12-16 00:00:00+01:00,81.5,82.56,81.24,82,82,916333
2025-12-17 00:00:00+01:00,82.18,82.32,80.5,80.88,80.88,687093
2025-12-18 00:00:00+01:00,80.7,81.86,80.5,81.86,81.86,588668
2025-12-19 00:00:00+01:00,81.84,82.18,81.14,81.26,81.26,847718
2025-12-22 00:00:00+01:00,81.48,82.4,81.34,82.04,82.04,524217
2025-12-23 00:00:00+01:00,82.04,82.72,81.7,82.08,82.08,443960
2025-12-29 00:00:00+01:00,82.52,83.3,81.8,83.2,83.2,573428
2025-12-30 00:00:00+01:00,83.02,83.78,82.6,83.68,83.68,485674
2026-01-02 00:00:00+01:00,83.44,84.16,82.02,82.02,82.02,670638
2026-01-05 00:00:00+01:00,82.14,82.78,80.8,80.8,80.8,627836
2026-01-07 00:00:00+01:00,82,83.84,81.5,83.06,83.06,840359
2026-01-08 00:00:00+01:00,83,83.44,81.7,81.92,81.92,520491
2026-01-09 00:00:00+01:00,82,83.06,81.86,83.06,83.06,680830
2026-01-12 00:00:00+01:00,82.9,82.9,81.12,81.78,81.78,818255
2026-01-13 00:00:00+01:00,81.78,82.3,81.04,81.48,81.48,1318741
2026-01-14 00:00:00+01:00,81.48,82.12,80,81.7,81.7,907998
2026-01-15 00:00:00+01:00,81.78,83.9,81.7,83.7,83.7,1025567
2026-01-16 00:00:00+01:00,83.78,84.18,82.42,84.06,84.06,836655
2026-01-19 00:00:00+01:00,81.48,81.88,75.78,75.78,75.78,4425177
2026-01-20 00:00:00+01:00,75.36,75.52,72.62,74.3,74.3,2552135
2026-01-21 00:00:00+01:00,74,75.14,73,74.56,74.56,1426912
2026-01-22 00:00:00+01:00,76,77.76,75.06,76.86,76.86,1760802
2026-01-23 00:00:00+01:00,77.22,77.38,75.9,76.18,76.18,662611
2026-01-26 00:00:00+01:00,75.82,76.02,74.5,75.1,75.1,1434056
2026-01-27 00:00:00+01:00,75.28,75.5,74.6,75,75,945921
2026-01-28 00:00:00+01:00,75.16,75.62,74,74.3,74.3,1077754
2026-01-29 00:00:00+01:00,74.3,74.4,72.64,72.96,72.96,1217290
2026-01-30 00:00:00+01:00,72.9,73.52,72.7,73,73,1277268
2026-02-02 00:00:00+01:00,72.7,75.14,71.56,74,74,1436171
2026-02-03 00:00:00+01:00,74.5,74.72,70.18,70.48,70.48,2772021
2026-02-04 00:00:00+01:00,70.38,70.42,66.7,68.5,68.5,4481420
2026-02-05 00:00:00+01:00,68.5,68.8,65.8,66.38,66.38,2699931
