Date,Open,High,Low,Close,Adjusted_close,Volume
2025-11-24 00:00:00+01:00,465.5,474.8,452.55,453.25,452.4299,4036752
2025-11-25 00:00:00+01:00,450,468.8,445.1,459,458.1695,3741435
2025-11-26 00:00:00+01:00,467.15,477.8,456.5,470.2,469.3492,2660784
2025-11-27 00:00:00+01:00,475,484.85,472.1,481.95,481.078,1977728
2025-11-28 00:00:00+01:00,484.5,485.25,472.35,475.6,474.7394,1825350
2025-12-01 00:00:00+01:00,470,470.5,458,462.8,461.9626,1905246
2025-12-02 00:00:00+01:00,461,475.5,458.55,469.95,469.0997,1935343
2025-12-03 00:00:00+01:00,479.95,480.5,463.95,468.8,467.9517,1741022
2025-12-04 00:00:00+01:00,475,478.6,469.85,478.25,477.3847,1429471
2025-12-05 00:00:00+01:00,486.6,496.45,483.35,489.25,488.3647,2311760
2025-12-08 00:00:00+01:00,492,498.85,488,498.15,497.2486,1397219
2025-12-09 00:00:00+01:00,505,517.5,502.9,511.1,510.1752,1937446
2025-12-10 00:00:00+01:00,507,510.1,495.9,505.1,504.1861,1424524
2025-12-11 00:00:00+01:00,504.3,509.1,498,503.5,502.589,1156856
2025-12-12 00:00:00+01:00,505.4,510.9,502.6,507.7,506.7814,911931
2025-12-15 00:00:00+01:00,504.6,510.7,497.25,508.4,507.4801,1462857
2025-12-16 00:00:00+01:00,500,500,474.95,483.95,483.0743,2910395
2025-12-17 00:00:00+01:00,485.25,495.1,485,491.2,490.3112,1453580
2025-12-18 00:00:00+01:00,492.55,506,492.55,504.1,503.1879,1399673
2025-12-19 00:00:00+01:00,505,509.6,500.2,508.7,507.7796,2028470
2025-12-22 00:00:00+01:00,509,513.7,503.5,513,512.0718,1242359
2025-12-23 00:00:00+01:00,516,534.5,515.6,529.2,528.2425,2026499
2025-12-29 00:00:00+01:00,525,527.6,512.3,523.7,522.7524,1619258
2025-12-30 00:00:00+01:00,523.7,542.9,523.7,537.6,536.6273,1955773
2026-01-02 00:00:00+01:00,543.8,559.8,540.1,559.8,558.7871,2432192
2026-01-05 00:00:00+01:00,570,599.4,570,596.9,595.82,2893053
2026-01-07 00:00:00+01:00,598,626.8,597.3,626.7,625.566,4609259
2026-01-08 00:00:00+01:00,630.2,651.1,627.4,641.4,640.2394,4173369
2026-01-09 00:00:00+01:00,647,683.5,646.2,682,680.766,5097495
2026-01-12 00:00:00+01:00,690.1,704.7,685.3,695.8,694.541,5772917
2026-01-13 00:00:00+01:00,698.5,709.8,679.8,704.1,702.826,3890897
2026-01-14 00:00:00+01:00,700,702.5,680.5,692.8,691.5464,3428972
2026-01-15 00:00:00+01:00,690.7,699.7,687,695.6,694.3414,2236649
2026-01-16 00:00:00+01:00,698,709.5,692.8,707.8,706.5193,2519791
2026-01-19 00:00:00+01:00,713.7,748.8,713.7,723.3,721.9913,3753022
2026-01-20 00:00:00+01:00,724.6,734.7,706.5,729.8,728.4795,2797587
2026-01-21 00:00:00+01:00,729.9,731.5,702,722.6,721.2925,2796912
2026-01-22 00:00:00+01:00,704,715,684.4,691.5,690.2488,3515671
2026-01-23 00:00:00+01:00,688,718.9,685.9,718.8,717.4994,2204959
2026-01-26 00:00:00+01:00,720.8,722.6,697,701,699.7316,1703394
2026-01-27 00:00:00+01:00,702.8,715,695.3,715,713.7063,1483995
2026-01-28 00:00:00+01:00,717.8,722,702.4,706.3,705.022,1523711
2026-01-29 00:00:00+01:00,710,712.6,694,698.3,697.0365,1689768
2026-01-30 00:00:00+01:00,694.1,708.8,690.6,693.3,692.0455,1695824
2026-02-02 00:00:00+01:00,684.5,691,675.3,676.7,675.4756,1518755
2026-02-03 00:00:00+01:00,682,690.3,672.4,680.4,679.1689,1508049
2026-02-04 00:00:00+01:00,680.4,683.9,651.5,651.5,650.3212,2086302
2026-02-05 00:00:00+01:00,658.8,681.2,621.5,639.2,638.0434,5300541
2026-02-06 00:00:00+01:00,639,670.8,637.7,656.8,655.6116,2654381
2026-02-09 00:00:00+01:00,667,673.8,656.8,670.9,669.6861,1823030
2026-02-10 00:00:00+01:00,668,673.1,646.1,647.7,646.528,1604224
2026-02-11 00:00:00+01:00,645.5,651.3,630.7,643.4,642.2358,1884413
2026-02-12 00:00:00+01:00,645.2,647.3,624.9,627.7,626.5642,1354177
2026-02-13 00:00:00+01:00,625.4,642.7,620.4,638.7,637.5443,1535057
2026-02-16 00:00:00+01:00,624,627.5,614.1,625,623.8691,2002839
2026-02-17 00:00:00+01:00,624,629.9,608.7,627.6,626.4644,1880775
2026-02-18 00:00:00+01:00,629,659,629,653.8,652.617,1922522
2026-02-19 00:00:00+01:00,660,672.9,652.5,672.9,671.6824,1796389
2026-02-20 00:00:00+01:00,670,673.4,657.9,669.4,668.1888,1401134
2026-02-23 00:00:00+01:00,666,666,644.6,649.4,648.225,1156088
