Date,Open,High,Low,Close,Adjusted_close,Volume
2025-11-24 00:00:00+01:00,280,282.6,277.2,281,276.6105,2655340
2025-11-25 00:00:00+01:00,281.6,284.3,280,283.7,279.2683,1107187
2025-11-26 00:00:00+01:00,285.7,286.6,284.4,286.2,281.7293,1667837
2025-11-27 00:00:00+01:00,286.2,286.8,284,284.6,280.1543,1066319
2025-11-28 00:00:00+01:00,284.6,285.2,283.9,285.1,280.6465,1840903
2025-12-01 00:00:00+01:00,284.1,286.5,282.1,286.5,282.0246,1636390
2025-12-02 00:00:00+01:00,286.3,288.6,285.2,288.4,283.8949,1518898
2025-12-03 00:00:00+01:00,289.1,291.4,288.2,290.5,285.9621,1527649
2025-12-04 00:00:00+01:00,292.5,294,290.5,291.4,286.8481,1613638
2025-12-05 00:00:00+01:00,292.2,292.2,288.9,291,286.4543,1942235
2025-12-08 00:00:00+01:00,291.6,294.4,290.8,293,288.4231,1255403
2025-12-09 00:00:00+01:00,293,293.7,291,291.7,287.1434,1900338
2025-12-10 00:00:00+01:00,292.3,292.8,289.1,291.1,286.5527,1683350
2025-12-11 00:00:00+01:00,292.6,294,290.6,293.2,288.6199,1407534
2025-12-12 00:00:00+01:00,294.9,296.3,290.2,291.1,286.5527,1884063
2025-12-15 00:00:00+01:00,291.8,293.4,290.5,292.6,288.0293,2887217
2025-12-16 00:00:00+01:00,290.9,291.6,289.3,291.5,286.9465,2459409
2025-12-17 00:00:00+01:00,291.5,292.4,284.1,284.3,279.859,2126290
2025-12-18 00:00:00+01:00,285.1,295.5,284.7,295.1,290.4903,2919786
2025-12-19 00:00:00+01:00,295.5,296.7,293.5,295.7,291.0809,3213548
2025-12-22 00:00:00+01:00,296.4,298.4,294.1,297.2,292.5575,1327377
2025-12-23 00:00:00+01:00,297.3,298,296.1,296.3,291.6715,1135309
2025-12-29 00:00:00+01:00,297.7,299.8,296.9,299.4,294.7231,1233415
2025-12-30 00:00:00+01:00,298.9,301.9,298.1,300.6,295.9043,1571854
2026-01-02 00:00:00+01:00,300.6,302.4,298.7,301.8,297.0856,1091000
2026-01-05 00:00:00+01:00,303.4,306.8,303,304.9,300.1372,1083963
2026-01-07 00:00:00+01:00,313.8,318.4,308.3,316.7,311.7529,3270148
2026-01-08 00:00:00+01:00,314.4,315,309.6,310.9,306.0435,2152489
2026-01-09 00:00:00+01:00,309.3,316.4,308,315.4,310.4732,1928565
2026-01-12 00:00:00+01:00,315.4,317.6,313.6,316.4,311.4575,1635836
2026-01-13 00:00:00+01:00,319.8,322.8,316.2,321.1,316.0841,2785858
2026-01-14 00:00:00+01:00,322.8,324.8,321.3,323.7,318.6435,3166815
2026-01-15 00:00:00+01:00,325,329.8,323.9,328.5,323.3685,2244708
2026-01-16 00:00:00+01:00,329.3,329.8,325.6,327.3,322.1873,2173197
2026-01-19 00:00:00+01:00,319.8,321.6,317,320.5,315.4935,1896214
2026-01-20 00:00:00+01:00,317.8,321.3,314.4,321.3,316.281,3027380
2026-01-21 00:00:00+01:00,321.3,327.7,321.2,327.6,322.4826,2550143
2026-01-22 00:00:00+01:00,330.2,333.2,327.3,330.7,325.5342,3037794
2026-01-23 00:00:00+01:00,330.7,333.2,329.8,333.1,327.8967,1796007
2026-01-26 00:00:00+01:00,329.2,339,328.1,339,333.7045,3592820
2026-01-27 00:00:00+01:00,342.9,345.4,335.8,345.4,340.0045,5631707
2026-01-28 00:00:00+01:00,350,350.7,343.8,346.4,340.9889,3862487
2026-01-29 00:00:00+01:00,348.3,358.3,348.3,354.1,348.5686,7847779
2026-01-30 00:00:00+01:00,352,354,346.3,351.7,346.2061,4441812
2026-02-02 00:00:00+01:00,345.1,355,338.6,353.4,347.8796,4293660
2026-02-03 00:00:00+01:00,360,367,357.2,365.8,360.0859,3207637
2026-02-04 00:00:00+01:00,370,378.8,368,370.8,365.0078,5329990
2026-02-05 00:00:00+01:00,368.3,370.4,363.2,366.8,361.0702,2396459
2026-02-06 00:00:00+01:00,367.3,373.3,365,371.8,365.9921,1916679
2026-02-09 00:00:00+01:00,374.8,380,372,379.7,373.7687,2647066
2026-02-10 00:00:00+01:00,380.3,382.8,379.1,381.4,375.4422,2565190
2026-02-11 00:00:00+01:00,381.3,392.1,379.9,386.9,380.8563,2689925
2026-02-12 00:00:00+01:00,389,390,380.6,381.2,375.2453,2262235
2026-02-13 00:00:00+01:00,379.7,380,368.1,376.8,370.914,2546550
2026-02-16 00:00:00+01:00,376.8,380,376.1,377.1,371.2093,1588092
2026-02-17 00:00:00+01:00,373.9,374.5,367.2,372.9,367.075,2409346
2026-02-18 00:00:00+01:00,373.2,379.9,372.8,379.8,373.8672,1600625
2026-02-19 00:00:00+01:00,378.7,379.6,375,377.5,371.6031,2493773
2026-02-20 00:00:00+01:00,377.6,382.3,375.6,379.6,373.6703,2156939
2026-02-23 00:00:00+01:00,381,385.7,379.1,383.1,377.1156,1919954
2026-02-24 00:00:00+01:00,384.5,391.5,384.2,391.1,384.9907,2056023
2026-02-25 00:00:00+01:00,392.3,399.9,392.3,397.6,391.3891,1661910
2026-02-26 00:00:00+01:00,395.7,400.2,394,398,391.7829,1993778
2026-02-27 00:00:00+01:00,399,404,396.2,399.4,393.161,3006544
2026-03-02 00:00:00+01:00,393,397.1,387.8,391.9,385.7782,2114149
2026-03-03 00:00:00+01:00,380.3,383.6,371,378.7,372.7844,3029528
2026-03-04 00:00:00+01:00,377.7,383.5,372,380,374.064,4003056
2026-03-05 00:00:00+01:00,379.8,387.5,374.6,374.6,368.7484,1851700
2026-03-06 00:00:00+01:00,375.7,377.9,360.7,366.3,360.5781,2428594
2026-03-09 00:00:00+01:00,353.4,359.7,350.8,358,352.4077,2389299
2026-03-10 00:00:00+01:00,373.8,382,368.9,380.5,374.5562,2674195
2026-03-11 00:00:00+01:00,377.7,382.2,374.7,379.1,373.1781,2020780
2026-03-12 00:00:00+01:00,378,384.8,373.7,380.2,374.2609,1561514
2026-03-13 00:00:00+01:00,374.8,375.3,354.8,356.2,350.6358,3028089
2026-03-16 00:00:00+01:00,358.4,360.7,355.2,356.2,350.6358,1757300
2026-03-17 00:00:00+01:00,354.9,358.2,352.4,352.5,346.9936,2056989
2026-03-18 00:00:00+01:00,359.8,367.2,356.4,358.5,352.8999,2456389
2026-03-19 00:00:00+01:00,350,350.5,336.2,337.7,332.4248,3042018
2026-03-20 00:00:00+01:00,342.6,344,332.3,334.1,328.881,3473491
2026-03-23 00:00:00+01:00,324.5,349.6,321.6,342,336.6576,2629190
2026-03-24 00:00:00+01:00,342,344.6,334.9,344.6,339.217,1464592
2026-03-25 00:00:00+01:00,349.5,355.8,349.5,353.2,347.6827,2230257
2026-03-26 00:00:00+01:00,351.4,352.7,346.1,347.4,341.9733,1687274
2026-03-27 00:00:00+01:00,347.4,348.5,341.9,344.7,339.3155,1677473
