Date,Open,High,Low,Close,Adjusted_close,Volume
2025-11-24 00:00:00+01:00,4.032,4.236,4.032,4.236,4.236,13493400
2025-11-25 00:00:00+01:00,4.21,4.322,4.154,4.26,4.26,9005327
2025-11-26 00:00:00+01:00,4.28,4.281,4.102,4.17,4.17,9029759
2025-11-27 00:00:00+01:00,4.17,4.199,4.14,4.177,4.177,5691030
2025-11-28 00:00:00+01:00,4.177,4.24,4.12,4.24,4.24,18007359
2025-12-01 00:00:00+01:00,4.19,4.21,4.1,4.132,4.132,8702680
2025-12-02 00:00:00+01:00,4.13,4.14,4.062,4.062,4.062,4545762
2025-12-03 00:00:00+01:00,4.07,4.125,4.057,4.084,4.084,5152514
2025-12-04 00:00:00+01:00,4.09,4.15,4.052,4.13,4.13,9931717
2025-12-05 00:00:00+01:00,4.13,4.219,4.098,4.176,4.176,11019950
2025-12-08 00:00:00+01:00,4.17,4.211,4.072,4.149,4.149,5742275
2025-12-09 00:00:00+01:00,4.149,4.179,4.078,4.1,4.1,6897880
2025-12-10 00:00:00+01:00,4.1,4.209,4.069,4.207,4.207,10378740
2025-12-11 00:00:00+01:00,4.225,4.227,4.05,4.149,4.149,8898758
2025-12-12 00:00:00+01:00,4.16,4.24,4.15,4.201,4.201,8186213
2025-12-15 00:00:00+01:00,4.2,4.22,4.033,4.14,4.14,14588230
2025-12-16 00:00:00+01:00,4.128,4.29,4.116,4.29,4.29,10673970
2025-12-17 00:00:00+01:00,4.256,4.4,4.173,4.4,4.4,8950906
2025-12-18 00:00:00+01:00,4.38,4.547,4.338,4.45,4.45,8606811
2025-12-19 00:00:00+01:00,4.448,4.47,4.297,4.44,4.44,12097600
2025-12-22 00:00:00+01:00,4.435,4.486,4.333,4.48,4.48,6982470
2025-12-23 00:00:00+01:00,4.477,4.625,4.472,4.62,4.62,12659810
2025-12-29 00:00:00+01:00,4.62,4.699,4.561,4.633,4.633,9540002
2025-12-30 00:00:00+01:00,4.628,4.67,4.59,4.63,4.63,11958410
2026-01-02 00:00:00+01:00,4.63,4.81,4.63,4.81,4.81,9330298
2026-01-05 00:00:00+01:00,4.81,4.882,4.701,4.717,4.717,5671308
2026-01-07 00:00:00+01:00,4.8,4.843,4.66,4.76,4.76,10848780
2026-01-08 00:00:00+01:00,4.754,4.854,4.743,4.75,4.75,9544431
2026-01-09 00:00:00+01:00,4.756,4.989,4.709,4.979,4.979,12735230
2026-01-12 00:00:00+01:00,4.979,4.997,4.808,4.87,4.87,9799657
2026-01-13 00:00:00+01:00,4.861,5.056,4.841,5.038,5.038,9428451
2026-01-14 00:00:00+01:00,5.03,5.03,4.841,4.95,4.95,10436540
2026-01-15 00:00:00+01:00,4.931,5.102,4.916,5.058,5.058,10580230
2026-01-16 00:00:00+01:00,5.042,5.092,4.962,5.022,5.022,7919384
2026-01-19 00:00:00+01:00,4.92,4.999,4.85,4.867,4.867,9314065
2026-01-20 00:00:00+01:00,4.867,4.868,4.725,4.756,4.756,8913383
2026-01-21 00:00:00+01:00,4.743,4.75,4.55,4.681,4.681,9318380
2026-01-22 00:00:00+01:00,4.738,4.97,4.738,4.929,4.929,10765430
2026-01-23 00:00:00+01:00,4.929,5,4.838,4.904,4.904,5132787
2026-01-26 00:00:00+01:00,4.873,4.934,4.812,4.908,4.908,6308942
2026-01-27 00:00:00+01:00,4.903,4.905,4.742,4.76,4.76,7020250
2026-01-28 00:00:00+01:00,4.786,4.944,4.724,4.937,4.937,8837178
2026-01-29 00:00:00+01:00,4.929,5.01,4.885,4.928,4.928,8201002
2026-01-30 00:00:00+01:00,4.93,4.979,4.869,4.9,4.9,7490844
2026-02-02 00:00:00+01:00,4.873,4.92,4.77,4.88,4.88,7015967
2026-02-03 00:00:00+01:00,4.75,4.879,4.745,4.777,4.777,8701265
2026-02-04 00:00:00+01:00,4.758,4.82,4.656,4.806,4.806,6787365
2026-02-05 00:00:00+01:00,4.787,4.83,4.71,4.785,4.785,7054188
2026-02-06 00:00:00+01:00,4.745,4.8,4.647,4.763,4.763,7392120
2026-02-09 00:00:00+01:00,4.765,4.81,4.596,4.61,4.61,6914556
2026-02-10 00:00:00+01:00,4.631,4.789,4.628,4.779,4.779,6348412
2026-02-11 00:00:00+01:00,4.779,4.787,4.574,4.574,4.574,6313167
2026-02-12 00:00:00+01:00,4.594,4.72,4.52,4.627,4.627,7320152
2026-02-13 00:00:00+01:00,4.642,4.679,4.555,4.576,4.576,5821870
2026-02-16 00:00:00+01:00,4.562,4.576,4.346,4.403,4.403,6438212
2026-02-17 00:00:00+01:00,4.382,4.429,4.352,4.396,4.396,3675647
2026-02-18 00:00:00+01:00,4.33,4.331,4.15,4.272,4.272,7652421
2026-02-19 00:00:00+01:00,4.28,4.38,4.268,4.27,4.27,5029306
2026-02-20 00:00:00+01:00,4.273,4.458,4.27,4.435,4.435,6041745
2026-02-23 00:00:00+01:00,4.435,4.478,4.281,4.293,4.293,8448804
2026-02-24 00:00:00+01:00,4.3,4.38,4.265,4.286,4.286,10408580
2026-02-25 00:00:00+01:00,4.5,4.5,3.89,3.89,3.89,44729820
2026-02-26 00:00:00+01:00,3.95,4.065,3.77,4.058,4.058,20070750
2026-02-27 00:00:00+01:00,4.027,4.05,3.92,3.95,3.95,11313060
2026-03-02 00:00:00+01:00,3.899,4.02,3.794,3.915,3.915,10088480
2026-03-03 00:00:00+01:00,3.909,3.916,3.78,3.858,3.858,9967787
2026-03-04 00:00:00+01:00,3.855,4.055,3.822,4.055,4.055,7825085
2026-03-05 00:00:00+01:00,4.038,4.072,3.965,3.965,3.965,7701487
2026-03-06 00:00:00+01:00,3.968,4,3.894,3.926,3.926,6405550
2026-03-09 00:00:00+01:00,3.85,3.91,3.795,3.883,3.883,6983392
2026-03-10 00:00:00+01:00,3.98,4.036,3.946,3.972,3.972,6748646
2026-03-11 00:00:00+01:00,3.972,3.99,3.884,3.888,3.888,7890418
2026-03-12 00:00:00+01:00,3.885,3.897,3.837,3.874,3.874,5870407
2026-03-13 00:00:00+01:00,3.861,3.959,3.802,3.941,3.941,6498451
2026-03-16 00:00:00+01:00,3.95,4.061,3.881,4.017,4.017,6276613
2026-03-17 00:00:00+01:00,3.995,4.066,3.965,4.017,4.017,6926246
2026-03-18 00:00:00+01:00,4.028,4.047,3.943,4.008,4.008,6980474
2026-03-19 00:00:00+01:00,3.981,3.987,3.804,3.851,3.851,13726250
2026-03-20 00:00:00+01:00,3.86,3.989,3.773,3.774,3.774,12096000
2026-03-23 00:00:00+01:00,3.663,3.75,3.481,3.701,3.701,18306830
2026-03-24 00:00:00+01:00,3.704,3.713,3.544,3.556,3.556,12392850
2026-03-25 00:00:00+01:00,3.58,3.655,3.522,3.58,3.58,13302950
