Date,Open,High,Low,Close,Adjusted_close,Volume
2025-11-24 00:00:00+01:00,180.35,184.25,180.35,180.95,180.95,3136252
2025-11-25 00:00:00+01:00,181.45,183.2,180.45,182.85,182.85,2077873
2025-11-26 00:00:00+01:00,184,186.55,183.25,185.7,185.7,1962196
2025-11-27 00:00:00+01:00,185.7,187.9,185.3,187.6,187.6,2274777
2025-11-28 00:00:00+01:00,187.65,188.8,187,187.85,187.85,3992255
2025-12-01 00:00:00+01:00,187.75,189.4,187.45,189.4,189.4,2037518
2025-12-02 00:00:00+01:00,189.9,190.6,189.1,189.85,189.85,1812646
2025-12-03 00:00:00+01:00,190,190.15,188.2,188.5,188.5,1875534
2025-12-04 00:00:00+01:00,189.3,189.55,186.65,188.5,188.5,1747843
2025-12-05 00:00:00+01:00,188.8,190.75,188.7,188.85,188.85,1450026
2025-12-08 00:00:00+01:00,188.55,189.65,187.4,189.3,189.3,1599722
2025-12-09 00:00:00+01:00,189.3,189.9,188.3,188.45,188.45,2096808
2025-12-10 00:00:00+01:00,188.3,190.35,188,190.35,190.35,1519089
2025-12-11 00:00:00+01:00,190,192.75,189.45,192.75,192.75,1785875
2025-12-12 00:00:00+01:00,193.9,194.25,189.55,189.55,189.55,1995902
2025-12-15 00:00:00+01:00,190.65,191.55,190.5,190.5,190.5,2830683
2025-12-16 00:00:00+01:00,190.7,191.15,188.55,188.55,188.55,2283399
2025-12-17 00:00:00+01:00,188.8,190.2,187.8,189.25,189.25,2554638
2025-12-18 00:00:00+01:00,189.2,190.9,187.75,190.8,190.8,2627807
2025-12-19 00:00:00+01:00,191.35,193.4,191.35,192.75,192.75,4099697
2025-12-22 00:00:00+01:00,192.75,192.95,191.2,192.6,192.6,1801156
2025-12-23 00:00:00+01:00,193.15,193.4,191.3,192.75,192.75,1932216
2025-12-29 00:00:00+01:00,193.1,193.65,192.8,193.45,193.45,1806441
2025-12-30 00:00:00+01:00,193.45,195.85,193.2,195.1,195.1,1913119
2026-01-02 00:00:00+01:00,195.55,199,195.05,197.95,197.95,2298848
2026-01-05 00:00:00+01:00,198.85,198.95,196.5,197.75,197.75,1326933
2026-01-07 00:00:00+01:00,201.6,201.6,196.15,196.6,196.6,3237610
2026-01-08 00:00:00+01:00,196.4,199.1,195.65,198.5,198.5,2238937
2026-01-09 00:00:00+01:00,198.65,199.05,196.15,198,198,2483647
2026-01-12 00:00:00+01:00,197.9,199.75,196.45,199.25,199.25,2260692
2026-01-13 00:00:00+01:00,200,201.2,199.35,200.7,200.7,2771726
2026-01-14 00:00:00+01:00,200.7,201.3,199.55,200.1,200.1,2975726
2026-01-15 00:00:00+01:00,201,202.7,200.8,201.8,201.8,3280679
2026-01-16 00:00:00+01:00,202.1,202.4,200.8,201.5,201.5,3565990
2026-01-19 00:00:00+01:00,197.15,198.75,195.7,197.85,197.85,2970491
2026-01-20 00:00:00+01:00,196.05,197.45,195.05,197.45,197.45,2107593
2026-01-21 00:00:00+01:00,195.85,200.5,195.3,199.4,199.4,2720639
2026-01-22 00:00:00+01:00,202,203.2,201.3,202.6,202.6,2787200
2026-01-23 00:00:00+01:00,202.6,202.6,200.4,200.4,200.4,1605698
2026-01-26 00:00:00+01:00,200.5,203.3,200.2,201.3,201.3,2008101
2026-01-27 00:00:00+01:00,202.7,204,202.3,204,204,2270158
2026-01-28 00:00:00+01:00,204,204.5,201.7,202.7,202.7,2838480
2026-01-29 00:00:00+01:00,195,195.05,188.35,189,189,9613315
2026-01-30 00:00:00+01:00,190,195,189.9,191.35,191.35,4356576
2026-02-02 00:00:00+01:00,189.95,196.15,188.95,196.15,196.15,3940768
2026-02-03 00:00:00+01:00,196.6,200,196.45,197.15,197.15,3288995
2026-02-04 00:00:00+01:00,198,202.3,197.35,200.1,200.1,3294941
2026-02-05 00:00:00+01:00,200.1,200.4,192.95,193.55,193.55,3248313
2026-02-06 00:00:00+01:00,194.35,198.25,194.2,197.3,197.3,3016125
2026-02-09 00:00:00+01:00,198.5,198.65,194.85,196.4,196.4,2213159
2026-02-10 00:00:00+01:00,196.4,197.4,194.45,194.45,194.45,3493423
2026-02-11 00:00:00+01:00,194.75,195.5,192.95,193.2,193.2,3415193
2026-02-12 00:00:00+01:00,194.6,194.8,191,191,191,3721851
2026-02-13 00:00:00+01:00,191.2,193.15,187.35,188.8,188.8,4395864
2026-02-16 00:00:00+01:00,190,192.7,190,191.6,191.6,2330869
2026-02-17 00:00:00+01:00,191,193.85,191,193.6,193.6,2871130
2026-02-18 00:00:00+01:00,193.6,196,193.5,195.4,195.4,2510098
2026-02-19 00:00:00+01:00,196,196.1,193,193,193,2367313
2026-02-20 00:00:00+01:00,194.1,196.5,193.65,196,196,3238052
2026-02-23 00:00:00+01:00,196.5,197.85,194.6,194.6,194.6,2217264
2026-02-24 00:00:00+01:00,194.6,194.75,192.5,193.3,193.3,2893719
2026-02-25 00:00:00+01:00,194,196.65,193.6,195.5,195.5,3094370
2026-02-26 00:00:00+01:00,195.5,196.9,195.15,195.85,195.85,2970073
2026-02-27 00:00:00+01:00,195.85,195.85,192.35,192.8,192.8,3379569
2026-03-02 00:00:00+01:00,188.2,190.2,186,189.5,189.5,2092875
2026-03-03 00:00:00+01:00,188.15,188.2,182.35,184.25,184.25,4035773
2026-03-04 00:00:00+01:00,184.15,186.1,183.15,185.05,185.05,4115212
2026-03-05 00:00:00+01:00,185.05,186.85,183.3,185,185,2497293
2026-03-06 00:00:00+01:00,185.5,186.5,182.25,183.8,183.8,2729347
2026-03-09 00:00:00+01:00,181.5,184.05,179.45,183.1,183.1,2573610
2026-03-10 00:00:00+01:00,187.35,189.45,186.2,188.15,188.15,2590758
2026-03-11 00:00:00+01:00,187.2,188.8,185.9,187.35,187.35,2557637
2026-03-12 00:00:00+01:00,187,187,183.35,184.05,184.05,2017527
2026-03-13 00:00:00+01:00,182.9,185.7,182.15,182.9,182.9,1646171
2026-03-16 00:00:00+01:00,183.05,185.3,182,184.05,184.05,2104010
2026-03-17 00:00:00+01:00,184,187.7,183.5,185.55,185.55,2320384
2026-03-18 00:00:00+01:00,186.6,188.4,184.55,185.6,185.6,2146818
