Date,Open,High,Low,Close,Adjusted_close,Volume
2025-11-24 00:00:00+01:00,126.55,128.65,126.45,127.9,127.9,8600404
2025-11-25 00:00:00+01:00,128.05,129.8,128,129.4,129.4,6613321
2025-11-26 00:00:00+01:00,129.85,131.45,129.55,131,131,6688770
2025-11-27 00:00:00+01:00,131,131.85,130.4,131.7,131.7,3292044
2025-11-28 00:00:00+01:00,131.8,132,130.9,130.9,130.9,5862900
2025-12-01 00:00:00+01:00,131.1,132.15,130.75,132.15,132.15,4174050
2025-12-02 00:00:00+01:00,132.6,132.95,132,132.55,132.55,3462014
2025-12-03 00:00:00+01:00,133,133.3,132.1,132.4,132.4,3753524
2025-12-04 00:00:00+01:00,132.75,132.75,130.05,131.1,131.1,5016368
2025-12-05 00:00:00+01:00,131.55,132.65,131.2,131.45,131.45,3019425
2025-12-08 00:00:00+01:00,131.45,131.45,130.35,131.2,131.2,3457622
2025-12-09 00:00:00+01:00,131.2,132.05,131.1,131.6,131.6,2544353
2025-12-10 00:00:00+01:00,131.45,131.7,130.8,131.7,131.7,2490490
2025-12-11 00:00:00+01:00,131.3,133.15,130.8,132.95,132.95,4076216
2025-12-12 00:00:00+01:00,133.2,133.7,130.1,130.1,130.1,5915563
2025-12-15 00:00:00+01:00,130.6,131.1,129,129.3,129.3,7230895
2025-12-16 00:00:00+01:00,129.4,129.95,128.45,128.65,128.65,5329798
2025-12-17 00:00:00+01:00,128.75,130.25,128.75,130.25,130.25,3889822
2025-12-18 00:00:00+01:00,130.2,131.2,129.85,131.2,131.2,4701190
2025-12-19 00:00:00+01:00,131.25,132.6,131.25,132.55,132.55,6583809
2025-12-22 00:00:00+01:00,132.55,132.6,131.65,132.45,132.45,2997451
2025-12-23 00:00:00+01:00,132.9,133.7,132.35,133.4,133.4,3171158
2025-12-29 00:00:00+01:00,133.75,133.8,132.55,132.8,132.8,2716418
2025-12-30 00:00:00+01:00,132.85,134.75,132.65,134.35,134.35,4312636
2026-01-02 00:00:00+01:00,134.7,136.5,134.3,135.95,135.95,5472876
2026-01-05 00:00:00+01:00,136.1,136.25,134.65,135.85,135.85,2743785
2026-01-07 00:00:00+01:00,136.3,136.95,132.15,132.55,132.55,8897331
2026-01-08 00:00:00+01:00,132.9,134.75,132.7,134.6,134.6,3957865
2026-01-09 00:00:00+01:00,134.35,135.9,133.65,135.9,135.9,4995187
2026-01-12 00:00:00+01:00,135.85,136.15,134.5,135.5,135.5,4046470
2026-01-13 00:00:00+01:00,136.4,138.7,136.4,138.45,138.45,6782126
2026-01-14 00:00:00+01:00,138.8,139.6,138.15,139.6,139.6,7596313
2026-01-15 00:00:00+01:00,140,141.45,139.7,141,141,4834730
2026-01-16 00:00:00+01:00,141.2,141.4,140.1,141.3,141.3,4184668
2026-01-19 00:00:00+01:00,139,140.75,136.95,139.25,139.25,6626856
2026-01-20 00:00:00+01:00,138.8,139.55,137.45,139.15,139.15,5218342
2026-01-21 00:00:00+01:00,138.1,140.05,137.45,139.55,139.55,4721737
2026-01-22 00:00:00+01:00,141.15,142.25,140.75,141.45,141.45,5042036
2026-01-23 00:00:00+01:00,141.45,141.5,139.7,139.95,139.95,3560319
