Date,Open,High,Low,Close,Adjusted_close,Volume
2025-11-24 00:00:00+01:00,26.98,27.34,26.8,27.05,27.05,5431107
2025-11-25 00:00:00+01:00,27,27.25,26.7,27.25,27.25,3690348
2025-11-26 00:00:00+01:00,27.38,27.61,27.13,27.24,27.24,3651594
2025-11-27 00:00:00+01:00,27.24,28.48,27.24,28.27,28.27,4445943
2025-11-28 00:00:00+01:00,28.79,29.12,28.51,28.75,28.75,4817364
2025-12-01 00:00:00+01:00,28.46,28.81,28.15,28.29,28.29,3999104
2025-12-02 00:00:00+01:00,28.2,28.39,27.87,28.1,28.1,3826443
2025-12-03 00:00:00+01:00,28.01,28.61,28,28.13,28.13,3452903
2025-12-04 00:00:00+01:00,28.3,29.22,28.19,28.63,28.63,5134562
2025-12-05 00:00:00+01:00,28.65,29.05,28.61,28.84,28.84,4908611
2025-12-08 00:00:00+01:00,28.84,29.78,28.84,29.29,29.29,4407513
2025-12-09 00:00:00+01:00,29.38,30.5,29.38,30.47,30.47,3687993
2025-12-10 00:00:00+01:00,30.44,30.99,30.14,30.9,30.9,4461810
2025-12-11 00:00:00+01:00,30.8,31.17,30.51,31.09,31.09,3163542
2025-12-12 00:00:00+01:00,31.2,31.59,31.05,31.05,31.05,3654464
2025-12-15 00:00:00+01:00,31.02,32,30.7,31.33,31.33,3604449
2025-12-16 00:00:00+01:00,30.78,31.31,30.43,30.48,30.48,3673413
2025-12-17 00:00:00+01:00,30.46,31.18,30.35,30.88,30.88,4249927
2025-12-18 00:00:00+01:00,30.88,31.26,30.7,31.26,31.26,3940710
2025-12-19 00:00:00+01:00,31.26,31.58,30.93,31.3,31.3,3939801
2025-12-22 00:00:00+01:00,31.04,31.4,30.27,30.59,30.59,2886112
2025-12-23 00:00:00+01:00,30.59,31.03,30.48,30.56,30.56,2419668
2025-12-29 00:00:00+01:00,30.56,31.33,30.46,31.3,31.3,2433840
2025-12-30 00:00:00+01:00,31.27,31.62,31.07,31.47,31.47,2849785
2026-01-02 00:00:00+01:00,31.58,31.88,30.68,30.68,30.68,2753605
2026-01-05 00:00:00+01:00,30.81,31.07,29.77,30.56,30.56,3003969
2026-01-07 00:00:00+01:00,30.56,31.59,30.22,31.52,31.52,4198073
2026-01-08 00:00:00+01:00,31.5,31.61,30.57,30.81,30.81,5293558
2026-01-09 00:00:00+01:00,30.81,32.13,30.81,31.43,31.43,9075752
2026-01-12 00:00:00+01:00,30.5,30.57,28.33,28.88,28.88,12829045
2026-01-13 00:00:00+01:00,28.97,29.29,28.05,28.28,28.28,3084960
2026-01-14 00:00:00+01:00,28.28,28.39,27.79,27.96,27.96,2982908
2026-01-15 00:00:00+01:00,28.02,28.28,27.53,27.61,27.61,2992520
2026-01-16 00:00:00+01:00,27.61,28.3,27.46,27.46,27.46,2275932
2026-01-19 00:00:00+01:00,26.43,26.9,26.08,26.32,26.32,3077728
2026-01-20 00:00:00+01:00,26.17,26.38,25.68,26.27,26.27,2859272
2026-01-21 00:00:00+01:00,26.25,26.32,25.26,26.05,26.05,2873654
2026-01-22 00:00:00+01:00,26.45,27.06,26.4,26.82,26.82,2430537
2026-01-23 00:00:00+01:00,26.82,27.31,26.7,27.09,27.09,1633337
2026-01-26 00:00:00+01:00,27.29,27.62,26.98,27.54,27.54,2475808
2026-01-27 00:00:00+01:00,27.57,27.71,27,27.16,27.16,2122211
2026-01-28 00:00:00+01:00,27.2,27.96,27.17,27.86,27.86,1871645
2026-01-29 00:00:00+01:00,27.78,27.78,26.37,26.69,26.69,2467244
2026-01-30 00:00:00+01:00,26.69,27.15,26.68,26.74,26.74,2235330
2026-02-02 00:00:00+01:00,26,26.68,25.51,26.35,26.35,3083682
2026-02-03 00:00:00+01:00,26.42,26.5,24.24,24.58,24.58,5501922
2026-02-04 00:00:00+01:00,24.58,25.25,24.37,25.16,25.16,2874476
2026-02-05 00:00:00+01:00,25.17,25.36,24.32,24.84,24.84,2090127
2026-02-06 00:00:00+01:00,24.6,24.62,23.5,24.12,24.12,5728924
2026-02-09 00:00:00+01:00,24.58,24.83,24.33,24.79,24.79,2636422
2026-02-10 00:00:00+01:00,24.75,25.38,24.71,25.17,25.17,2434332
2026-02-11 00:00:00+01:00,25.59,25.6,24.56,24.56,24.56,3408504
2026-02-12 00:00:00+01:00,24.5,24.87,23.82,23.88,23.88,3821489
2026-02-13 00:00:00+01:00,23.88,24.34,23.38,23.88,23.88,3511523
2026-02-16 00:00:00+01:00,24.01,24.32,23.43,23.5,23.5,3866493
2026-02-17 00:00:00+01:00,21.64,22.1,18.865,20.14,20.14,28933597
2026-02-18 00:00:00+01:00,20.3,22,20.3,21.83,21.83,10060837
2026-02-19 00:00:00+01:00,22,22.95,21.83,22.18,22.18,6865010
2026-02-20 00:00:00+01:00,22.19,22.45,21.82,22.26,22.26,7167240
2026-02-23 00:00:00+01:00,21.5,21.93,21.09,21.12,21.12,6783786
2026-02-24 00:00:00+01:00,21.33,22.21,21.16,21.81,21.81,5013573
2026-02-25 00:00:00+01:00,21.84,22.46,21.81,22.19,22.19,4473699
2026-02-26 00:00:00+01:00,22.19,23.33,21.99,23.12,23.12,4308459
2026-02-27 00:00:00+01:00,23,23.2,22.64,22.97,22.97,4734328
2026-03-02 00:00:00+01:00,22.03,22.75,21.92,22.18,22.18,5089276
2026-03-03 00:00:00+01:00,22,22.29,21.64,22.07,22.07,4994100
2026-03-04 00:00:00+01:00,22.12,22.85,22.12,22.79,22.79,3644631
2026-03-05 00:00:00+01:00,22.52,23.9,22.43,23.46,23.46,5047445
2026-03-06 00:00:00+01:00,23.82,24.12,23.28,23.56,23.56,4254031
2026-03-09 00:00:00+01:00,22.26,23.03,22.15,22.46,22.46,7138127
2026-03-10 00:00:00+01:00,23,23.29,22.43,22.5,22.5,5303362
2026-03-11 00:00:00+01:00,22.31,23.23,22.3,22.52,22.52,5186839
2026-03-12 00:00:00+01:00,22.52,23.32,22.37,22.78,22.78,5530705
2026-03-13 00:00:00+01:00,22.65,23.45,22.58,23.11,23.11,4199754
2026-03-16 00:00:00+01:00,23.21,23.3,22.76,23.03,23.03,4674472
2026-03-17 00:00:00+01:00,23.03,23.44,22.77,23.28,23.28,4464829
2026-03-18 00:00:00+01:00,23.33,23.4,22.43,22.56,22.56,3958912
2026-03-19 00:00:00+01:00,22.1,22.78,21.98,22.33,22.33,4312053
2026-03-20 00:00:00+01:00,22.42,22.61,21.9,22,22,5752879
2026-03-23 00:00:00+01:00,21.6,22.85,21.39,22.44,22.44,5222084
2026-03-24 00:00:00+01:00,22.44,22.6,21.8,21.99,21.99,3998669
2026-03-25 00:00:00+01:00,22.5,22.92,22.4,22.56,22.56,5764662
2026-03-26 00:00:00+01:00,22.41,23.25,22.1,23.17,23.17,3935886
2026-03-27 00:00:00+01:00,23.03,23.32,22.6,23.25,23.25,5740144
2026-03-30 00:00:00+01:00,23.12,23.97,22.91,23.93,23.93,3642383
2026-03-31 00:00:00+01:00,23.91,24.72,23.91,24.65,24.65,4223709
2026-04-01 00:00:00+01:00,25.42,25.72,25,25.69,25.69,4445847
2026-04-02 00:00:00+01:00,25.05,25.6,24.9,25.32,25.32,3827670
2026-04-07 00:00:00+01:00,25.52,26.16,25.15,25.37,25.37,2484164
2026-04-08 00:00:00+01:00,26.3,26.61,25.54,25.6,25.6,3963053
2026-04-09 00:00:00+01:00,25.5,25.5,24.51,24.69,24.69,2994146
2026-04-10 00:00:00+01:00,24.85,25.37,24.28,24.46,24.46,3067955
2026-04-13 00:00:00+01:00,24.28,24.68,23.91,24.61,24.61,2324272
2026-04-14 00:00:00+01:00,24.91,25.2,24.5,24.85,24.85,2899862
2026-04-15 00:00:00+01:00,24.91,24.95,24.08,24.65,24.65,3595933
2026-04-16 00:00:00+01:00,24.64,28.15,22.29,27.78,27.78,18131823
2026-04-17 00:00:00+01:00,27.39,28.27,27.17,27.5,27.5,4347337
