Date,Open,High,Low,Close,Adjusted_close,Volume
2025-11-24 00:00:00+01:00,287.9,292.3,287.8,290.7,290.7,3622431
2025-11-25 00:00:00+01:00,290.7,294,289.7,292.9,292.9,2373956
2025-11-26 00:00:00+01:00,293.7,300.2,293.5,298.5,298.5,2634697
2025-11-27 00:00:00+01:00,298.7,300,297.9,299.4,299.4,1243750
2025-11-28 00:00:00+01:00,299.7,300.4,299.1,300.3,300.3,2074467
2025-12-01 00:00:00+01:00,300.1,304,299.8,304,304,1675704
2025-12-02 00:00:00+01:00,304,307.3,303.5,307,307,1916344
2025-12-03 00:00:00+01:00,307,307.2,303.1,303.1,303.1,1570302
2025-12-04 00:00:00+01:00,301,302.9,297.2,302.6,302.6,2211503
2025-12-05 00:00:00+01:00,303,306.2,302.5,303.1,303.1,1280005
2025-12-08 00:00:00+01:00,303.3,304.5,301.7,304.5,304.5,1220144
2025-12-09 00:00:00+01:00,305.6,305.9,304.2,305.2,305.2,1407950
2025-12-10 00:00:00+01:00,305.2,308.3,303.8,307.4,307.4,1934093
2025-12-11 00:00:00+01:00,307.4,314.7,306.7,313.7,313.7,1775042
2025-12-12 00:00:00+01:00,314.7,315.3,308.8,309.1,309.1,1517977
2025-12-15 00:00:00+01:00,310,312.4,310,310.6,310.6,2466268
2025-12-16 00:00:00+01:00,311,312.6,308.5,308.8,308.8,1877111
2025-12-17 00:00:00+01:00,309.7,311.1,308.1,310.3,310.3,1760997
2025-12-18 00:00:00+01:00,310.4,312.1,308.8,312.1,312.1,1599292
2025-12-19 00:00:00+01:00,312.6,316.3,312.6,315.7,315.7,2936891
2025-12-22 00:00:00+01:00,315.9,316,314.3,316,316,845870
2025-12-23 00:00:00+01:00,316.8,318.7,315.2,318.7,318.7,1292593
2025-12-29 00:00:00+01:00,320,320.1,317.7,318,318,1452730
2025-12-30 00:00:00+01:00,318.6,322.3,318.1,321.1,321.1,1543931
2026-01-02 00:00:00+01:00,322,326.6,321.1,325.4,325.4,1776400
2026-01-05 00:00:00+01:00,325.4,326.5,321.5,324.6,324.6,1082302
