Date,Open,High,Low,Close,Adjusted_close,Volume
2025-11-24 00:00:00+01:00,37.1,37.18,36.87,37.16,36.3456,17556270
2025-11-25 00:00:00+01:00,37.13,38.07,37.12,37.75,36.9226,6623126
2025-11-26 00:00:00+01:00,37.77,37.91,37.54,37.72,36.8933,4198844
2025-11-27 00:00:00+01:00,37.8,37.91,37.68,37.84,37.0107,2058311
2025-11-28 00:00:00+01:00,38.58,38.71,37.9,37.9,37.0694,11209960
2025-12-01 00:00:00+01:00,37.99,38.01,37.75,37.88,37.0498,4776025
2025-12-02 00:00:00+01:00,37.88,38.08,37.66,38.03,37.1965,4806779
2025-12-03 00:00:00+01:00,38,38.23,37.74,37.93,37.0987,5080175
2025-12-04 00:00:00+01:00,37.98,38.45,37.75,38.38,37.5388,5991567
2025-12-05 00:00:00+01:00,38.35,38.49,38.25,38.44,37.5975,4987285
2025-12-08 00:00:00+01:00,38.44,38.45,37.83,38.02,37.1867,4964277
2025-12-09 00:00:00+01:00,37.97,38.19,37.77,37.83,37.0009,4987620
2025-12-10 00:00:00+01:00,37.75,37.75,37.38,37.51,36.6879,5690548
2025-12-11 00:00:00+01:00,37.5,37.76,37.35,37.68,36.8542,3994755
2025-12-12 00:00:00+01:00,37.71,37.77,37.56,37.56,36.7368,4094369
2025-12-15 00:00:00+01:00,37.63,38.21,37.52,37.93,37.0987,5424239
2025-12-16 00:00:00+01:00,37.97,38.16,37.9,37.99,37.1574,4464056
2025-12-17 00:00:00+01:00,37.92,38.54,37.92,38.48,37.6366,5339661
2025-12-18 00:00:00+01:00,38.48,38.81,38.36,38.64,37.7931,4459964
2025-12-19 00:00:00+01:00,38.56,38.76,38.45,38.6,37.754,8164111
2025-12-22 00:00:00+01:00,38.52,38.58,38.16,38.55,37.7051,4693518
2025-12-23 00:00:00+01:00,38.65,39.11,38.65,38.93,38.0768,5082654
2025-12-29 00:00:00+01:00,38.85,39.28,38.7,39.25,38.3898,4432634
2025-12-30 00:00:00+01:00,39.12,39.6,39.1,39.38,38.5169,6556970
2026-01-02 00:00:00+01:00,39.51,39.97,39.45,39.66,38.7908,4907173
